strain,isotype
CB4856,CB4856
DL238,DL238
QX1791,QX1791
ECA190,ECA189
QX1792,QX1792
ECA192,ECA189
ECA193,ECA189
ECA260,CB4856
QX1793,QX1793
QX1794,QX1794
ECA189,ECA189
ECA191,ECA191
ECA393,ECA189
ECA394,ECA189
ECA395,ECA189
ECA363,ECA363
ECA397,ECA396
ECA398,ECA396
ECA399,ECA396
ECA369,ECA369
ECA702,ECA701
ECA372,ECA372
ECA704,ECA812
ECA396,ECA396
XZ1513,XZ1513
ECA707,ECA778
ECA708,ECA778
ECA709,ECA778
XZ1514,XZ1514
ECA711,ECA712
XZ1515,XZ1515
ECA713,ECA712
ECA714,ECA712
ECA715,ECA712
ECA716,ECA807
ECA717,ECA807
ECA718,ECA807
ECA719,ECA812
ECA720,ECA807
ECA721,ECA778
XZ1516,XZ1516
ECA347,ECA347
ECA701,ECA701
ECA725,ECA724
ECA726,ECA724
ECA727,ECA724
ECA728,ECA723
ECA729,ECA723
ECA703,ECA703
ECA731,ECA733
ECA705,ECA705
ECA706,ECA706
ECA734,ECA738
ECA735,ECA738
ECA736,ECA738
ECA737,ECA738
ECA710,ECA710
ECA739,ECA760
ECA712,ECA712
ECA722,ECA722
ECA723,ECA723
ECA724,ECA724
ECA730,ECA730
ECA732,ECA732
ECA733,ECA733
ECA747,ECA745
ECA748,ECA812
ECA749,ECA760
ECA750,ECA812
ECA751,ECA812
ECA752,ECA760
ECA753,ECA760
ECA754,ECA760
ECA755,ECA812
ECA756,ECA778
ECA757,ECA778
ECA758,ECA760
ECA759,ECA812
ECA738,ECA738
ECA761,ECA812
ECA762,ECA812
ECA763,ECA778
ECA764,ECA778
ECA765,ECA778
ECA766,ECA778
ECA767,ECA778
ECA740,ECA740
ECA769,ECA760
ECA770,ECA807
ECA771,ECA812
ECA772,ECA768
ECA773,ECA812
ECA774,ECA812
ECA775,ECA812
ECA776,ECA812
ECA741,ECA741
ECA742,ECA742
ECA779,ECA760
ECA780,ECA760
ECA781,ECA778
ECA782,ECA812
ECA783,ECA812
ECA784,ECA760
ECA785,ECA760
ECA786,ECA812
ECA787,ECA812
ECA743,ECA743
ECA808,ECA760
ECA809,ECA812
ECA810,ECA778
ECA811,ECA778
ECA744,ECA744
ECA813,ECA812
ECA822,ECA705
ECA922,ECA923
ECA745,ECA745
ECA924,ECA923
ECA925,ECA923
ECA926,ECA928
ECA927,ECA923
ECA746,ECA746
ECA760,ECA760
ECA768,ECA768
ECA777,ECA777
ECA778,ECA778
ECA807,ECA807
ECA812,ECA812
ECA923,ECA923
ECA928,ECA928